MCS,TotalCells,NonCycling,CycleG1,CycleS,CycleG2,CycleM
0,100,100,0,0,0,0
1,100,100,0,0,0,0
2,100,98,2,0,0,0
3,100,97,3,0,0,0
4,100,94,6,0,0,0
5,100,92,8,0,0,0
6,100,92,8,0,0,0
7,100,92,8,0,0,0
8,100,91,9,0,0,0
9,100,89,11,0,0,0
10,100,88,12,0,0,0
11,100,87,13,0,0,0
12,100,85,15,0,0,0
13,100,84,16,0,0,0
14,100,85,15,0,0,0
15,100,84,16,0,0,0
16,100,82,18,0,0,0
17,100,80,20,0,0,0
18,100,79,21,0,0,0
19,100,78,22,0,0,0
20,100,78,21,1,0,0
21,100,78,21,1,0,0
22,100,79,19,2,0,0
23,100,79,19,2,0,0
24,100,78,20,2,0,0
25,100,77,21,2,0,0
26,100,75,21,4,0,0
27,100,75,20,5,0,0
28,100,74,21,5,0,0
29,100,74,21,5,0,0
30,100,73,22,5,0,0
31,100,72,23,5,0,0
32,100,72,23,5,0,0
33,100,72,23,5,0,0
34,100,72,23,5,0,0
35,100,72,24,4,0,0
36,100,71,25,4,0,0
37,100,70,26,4,0,0
38,100,66,30,4,0,0
39,100,68,28,4,0,0
40,100,68,28,4,0,0
41,100,67,30,3,0,0
42,100,68,29,3,0,0
43,100,67,30,3,0,0
44,100,67,30,3,0,0
45,100,67,29,4,0,0
46,100,66,30,4,0,0
47,100,65,31,4,0,0
48,100,65,31,4,0,0
49,100,66,29,5,0,0
50,100,67,29,4,0,0
51,100,67,29,4,0,0
52,100,66,30,4,0,0
53,100,66,30,4,0,0
54,100,66,30,4,0,0
55,100,67,27,6,0,0
56,100,67,26,7,0,0
57,100,65,26,8,1,0
58,100,67,23,9,1,0
59,100,67,23,9,1,0
60,100,69,21,9,1,0
61,100,70,21,9,0,0
62,100,71,20,9,0,0
63,100,70,21,9,0,0
64,100,69,20,11,0,0
65,100,69,20,11,0,0
66,100,69,20,11,0,0
67,100,69,20,11,0,0
68,100,69,20,11,0,0
69,100,68,21,11,0,0
70,100,68,22,10,0,0
71,100,69,22,9,0,0
72,100,71,22,7,0,0
73,100,71,22,7,0,0
74,100,72,22,6,0,0
75,100,72,22,6,0,0
76,100,72,22,6,0,0
77,100,73,21,6,0,0
78,100,73,20,7,0,0
79,100,73,20,7,0,0
80,100,73,20,7,0,0
81,100,73,20,7,0,0
82,100,73,20,7,0,0
83,100,73,18,9,0,0
84,100,73,18,9,0,0
85,100,74,18,8,0,0
86,100,73,18,8,1,0
87,100,72,18,9,1,0
88,100,72,18,9,1,0
89,100,71,18,9,2,0
90,100,71,18,9,2,0
91,100,72,17,9,2,0
92,100,73,17,8,2,0
93,100,74,17,7,2,0
94,100,73,17,8,2,0
95,100,74,17,7,2,0
96,100,74,17,7,2,0
97,100,74,17,7,2,0
98,100,78,16,5,1,0
99,100,78,16,5,1,0
100,100,79,15,5,1,0
101,100,79,15,5,1,0
102,100,80,15,4,1,0
103,100,81,15,3,1,0
104,100,81,15,3,1,0
105,101,81,14,4,1,1
106,101,81,14,4,2,0
107,101,81,14,4,2,0
108,101,80,14,4,3,0
109,101,79,15,4,3,0
110,101,79,15,4,3,0
111,101,78,16,4,3,0
112,101,78,16,4,3,0
113,101,78,16,3,4,0
114,101,78,16,3,4,0
115,101,78,16,3,4,0
116,101,78,16,2,5,0
117,101,78,15,2,6,0
118,101,77,15,2,7,0
119,101,75,17,2,7,0
120,101,75,17,2,7,0
121,101,75,17,2,7,0
122,101,73,18,3,7,0
123,101,73,18,3,7,0
