Contexto,NonCycling,CycleG1,CycleS,CycleG2,CycleM
celltype_distribution-01,78.71,11.19,0.98,9.02,0.1
celltype_distribution-02,74.37,13.67,1.18,10.65,0.12
celltype_distribution-03,71.74,13.8,5.29,9.07,0.11
celltype_distribution-04,73.69,13.22,4.66,8.33,0.1
celltype_distribution-05,77.21,11.15,4.11,7.45,0.09
celltype_distribution-06,77.3,11.48,1.08,10.03,0.11
celltype_distribution-07,77.28,11.44,1.07,10.1,0.11
celltype_distribution-08,77.39,11.41,1.07,10.01,0.11
celltype_distribution-09,78.8,11.09,0.98,9.03,0.1
celltype_distribution-10,,,,,
celltype_distribution-11,27.86,63.01,0.9,8.13,0.09
celltype_distribution-12,73.6,13.18,4.75,8.37,0.1
celltype_distribution-13,,,,,
celltype_distribution-14,53.21,22.54,9.09,14.98,0.17
celltype_distribution-15,53.21,22.54,9.09,14.98,0.17
